Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
59365900,FAZENDA FORTALEZA,1,,59,ANGRA DOS REIS,RIO DE JANEIRO,INEA-RJ,INFOPER,-22.9564,-44.5608,,RIO MAMBUCABA,2012-04-01,,,,0
59373000,VILA PEREQUÊ,1,674.0,59,ANGRA DOS REIS,RIO DE JANEIRO,INEA-RJ,INFOPER,-23.0025,-44.5433,7.09,RIO MAMBUCABA,2009-09-01,,Ativo,RHN,0
60011005,UHE EMBORCAÇÃO PATOS DE MINAS,1,3632.0,60,PATOS DE MINAS,MINAS GERAIS,CEMIG,CEMIG,-18.6025,-46.5406,795.0,RIO PARANAÍBA,1998-07-01,,Ativo,Setor Elétrico,0
60012110,PONTE VICENTE GOULART JUSANTE,1,,60,COROMANDEL,MINAS GERAIS,IGAM-MG,IGAM-MG,-18.2722,-47.0986,,RIO PARANAÍBA,,,Ativo,RHN,0
60016000,UHE EMBORCAÇÃO PORTO DOS PEREIRAS,1,10209.0,60,ABADIA DOS DOURADOS,MINAS GERAIS,CEMIG,CEMIG,-18.1814,-47.4831,,RIO PARANAÍBA,1982-12-01,,Ativo,Setor Elétrico,0
60018500,UHE BATALHA MONTANTE 2,1,,60,CRISTALINA,GOIÁS,FURNAS,FURNAS,-16.5114,-47.4528,830.0,RIO SÃO MARCOS,2016-03-01,,Ativo,Setor Elétrico,0
60018800,UHE BATALHA MONTANTE 1,1,,60,PARACATU,MINAS GERAIS,FURNAS,FURNAS,-16.7578,-47.2342,800.0,RIO SÃO MARCOS,2016-03-01,,Ativo,Setor Elétrico,0
60020400,UHE BATALHA BARRAMENTO,1,,60,CRISTALINA,GOIÁS,FURNAS,FURNAS,-17.3461,-47.4914,,RIO SÃO MARCOS,2013-10-01,,Ativo,Setor Elétrico,0
60020500,UHE SERRA DO FACÃO MONTANTE,1,6747.0,60,CRISTALINA,GOIÁS,SERRA DO FACÃO,SERRA DO FACÃO,-17.3422,-47.4956,765.0,RIO SÃO MARCOS,2008-01-01,,Ativo,Setor Elétrico,0
60022000,UHE SERRA DO FACÃO BATALHA,1,543.0,60,PARACATU,MINAS GERAIS,SERRA DO FACÃO,SERRA DO FACÃO,-17.4342,-47.4822,768.0,RIBEIRÃO BATALHA,2012-05-01,,Ativo,Setor Elétrico,0
60023000,CGH LAGO AZUL MONTANTE,1,547.0,60,IPAMERI,GOIÁS,LAGO AZUL,LAGO AZUL,-17.1969,-47.5783,,RIBEIRÃO CASTELHANO,2014-06-01,,Ativo,Setor Elétrico,0
60024000,CGH LAGO AZUL BARRAMENTO,1,637.0,60,IPAMERI,GOIÁS,LAGO AZUL,LAGO AZUL,-17.28,-47.5258,,RIBEIRÃO CASTELHANO,2014-06-01,,Ativo,Setor Elétrico,0
60029900,UHE SERRA DO FACÃO PONTE ALTA,1,507.0,60,CAMPO ALEGRE DE GOI,GOIÁS,SERRA DO FACÃO,SERRA DO FACÃO,-17.4778,-47.6244,744.81,RIBEIRÃO PONTE ALTA,2017-07-01,,Ativo,Setor Elétrico,0
60038000,UHE SERRA DO FACÃO BARRAMENTO,1,10683.0,60,CATALÃO,GOIÁS,SERRA DO FACÃO,SERRA DO FACÃO,-18.0453,-47.6753,770.0,RIO SÃO MARCOS,2012-05-01,,Ativo,Setor Elétrico,0
60038100,UHE SERRA DO FACÃO JUSANTE,1,10697.0,60,CATALÃO,GOIÁS,SERRA DO FACÃO,SERRA DO FACÃO,-18.0644,-47.6731,600.0,RIO SÃO MARCOS,2008-01-01,,Ativo,Setor Elétrico,0
60038200,UHE EMBORCAÇÃO FAZENDA SÃO DOMINGOS,1,10716.0,60,CATALÃO,GOIÁS,CEMIG,CEMIG,-18.1042,-47.6922,,RIO SÃO MARCOS,1970-01-01,,Ativo,Setor Elétrico,0
