Name,Code,Type,DrainArea,SubBasin,City,State,Responsib,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,QScore,QLabel,IsStudy
PONTE ALTA 1,58060000,1,277.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.33,-45.1436,1933-08-29,2019-12-31,87,0.3,83,4.6,0.9282,Excelente,0
PONTE ALTA 2,58065000,1,23.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.3453,-45.1394,1935-02-01,1979-01-31,45,3.4,38,15.6,0.7796,Excelente,0
BAIRRO ALTO,58070000,1,585.0,58,NATIVIDADE DA SERRA,SÃO PAULO,ANA,-23.4736,-45.3542,1938-10-01,1974-01-20,37,14.2,30,18.9,0.6773,Moderada,0
NATIVIDADE DA SERRA 2,58075000,1,141.0,58,NATIVIDADE DA SERRA,SÃO PAULO,ANA,-23.3875,-45.4417,1939-06-20,1974-01-31,36,14.7,28,22.2,0.6618,Moderada,0
NATIVIDADE DA SERRA 1,58078000,1,708.0,58,NATIVIDADE DA SERRA,SÃO PAULO,ANA,-23.3931,-45.4611,1935-10-01,1974-02-21,40,2.4,37,7.5,0.7856,Excelente,0
VARGINHA,58082000,1,414.0,58,PARAIBUNA,SÃO PAULO,ANA,-23.4542,-45.5458,1953-05-16,1961-01-25,9,0.0,7,22.2,0.4125,Limitada,0
BAIRRO DO CARACOL,58087000,1,1480.0,58,PARAIBUNA,SÃO PAULO,ANA,-23.4111,-45.6389,1953-08-07,1958-12-31,6,0.0,5,16.7,0.375,Limitada,0
ESTRADA DE PARAIBUNA,58088000,1,4350.0,58,PARAIBUNA,SÃO PAULO,ANA,-23.3583,-45.6917,1950-01-01,1958-12-31,9,6.5,8,11.1,0.3735,Limitada,0
SANTA BRANCA,58099000,1,4940.0,58,SANTA BRANCA,SÃO PAULO,ANA,-23.3689,-45.9003,1952-06-10,2019-12-31,68,4.4,62,8.8,0.9036,Excelente,0
GUARAREMA,58105000,1,5210.0,58,GUARAREMA,SÃO PAULO,ANA,-23.4153,-46.025,1932-01-01,1980-03-12,49,1.7,46,6.1,0.7898,Excelente,0
LUIZ CARLOS - RÉGUA VELHA,58107100,1,46.0,58,GUARAREMA,SÃO PAULO,ANA,-23.45,-46.05,1934-02-22,1942-12-31,9,0.0,8,11.1,0.4125,Limitada,0
JACAREÍ,58110002,1,5470.0,58,JACAREÍ,SÃO PAULO,ANA,-23.3078,-45.975,2000-01-01,2019-06-30,20,3.1,16,20.0,0.6614,Moderada,0
IGARATA 2,58118000,1,481.0,58,IGARATA,SÃO PAULO,ANA,-23.2083,-46.1278,1950-06-01,1968-12-31,19,0.0,18,5.3,0.5375,Moderada,0
USINA DO TURVO,58122000,1,352.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,ANA,-23.0944,-46.0222,1952-07-29,1969-12-31,18,0.0,16,11.1,0.525,Moderada,0
IGARATA 1,58126000,1,692.0,58,IGARATA,SÃO PAULO,ANA,-23.1861,-46.0917,1935-12-12,1969-05-31,35,0.0,33,5.7,0.7375,Moderada,0
FAZENDA SÃO JOÃO,58128000,1,1270.0,58,IGARATA,SÃO PAULO,ANA,-23.2125,-46.0694,1950-06-23,1966-12-31,17,0.0,16,5.9,0.5125,Moderada,0
FAZENDA BARBOSA,58129000,1,1290.0,58,IGARATA,SÃO PAULO,ANA,-23.1972,-46.0389,1954-01-01,1960-12-31,7,0.0,7,0.0,0.3875,Limitada,0
BUQUIRINHA,58142000,1,392.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,ANA,-23.1139,-45.9125,1932-02-18,1972-07-31,41,0.0,39,4.9,0.8,Excelente,0
BUQUIRINHA II,58142200,1,407.0,58,SÃO JOSÉ DOS CAMPOS,SÃO PAULO,ANA,-23.1247,-45.9072,1979-01-14,2019-12-31,41,0.0,39,4.9,0.93,Excelente,0
CAÇAPAVA,58152000,1,8360.0,58,CAÇAPAVA,SÃO PAULO,ANA,-23.0792,-45.7111,1933-08-01,1975-04-30,43,3.4,39,9.3,0.7796,Excelente,0
